date,open,close,high,low,volume,money,change,adjclose,symbol
2025-06-12,5780.97,5799.93,5808.8,5766.52,125615846.0,165393538363.1,0.73,5799.93,sh000905
2025-06-13,5783.16,5740.24,5794.67,5728.21,167613374.0,216010351562.9,1.15,5740.24,sh000905
2025-06-16,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2025-06-16 00:00:00,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2025-06-16 00:00:00,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2025-06-16 00:00:00,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2025-06-16 00:00:00,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2025-06-16 00:00:00,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2025-06-16 00:00:00,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2025-06-16 00:00:00,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2025-06-16 00:00:00,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2025-06-16 00:00:00,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2025-06-16 00:00:00,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2025-06-16 00:00:00,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2025-06-16 00:00:00,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2025-06-16 00:00:00,5725.0,5767.81,5775.95,5725.0,128242658.0,170989175829.1,0.89,5767.81,sh000905
2020-11-09 00:00:00,6337.44,6421.65,6452.91,6337.44,160027881.0,175071789056.0,1.83,6421.65,sh000905
2020-11-10 00:00:00,6434.43,6373.09,6435.41,6339.29,141928932.0,155931471872.0,1.5,6373.09,sh000905
2020-11-11 00:00:00,6356.37,6294.61,6375.24,6292.84,130728082.0,134439038976.0,1.29,6294.61,sh000905
2020-11-12 00:00:00,6305.07,6315.49,6341.0,6285.29,104680686.0,113184124928.0,0.89,6315.49,sh000905
2020-11-13 00:00:00,6304.46,6306.97,6319.41,6248.36,107116321.0,112943607808.0,1.13,6306.97,sh000905
2020-11-16 00:00:00,6319.7,6387.37,6387.42,6294.29,133677330.0,131781935104.0,1.48,6387.37,sh000905
2020-11-17 00:00:00,6380.77,6336.94,6380.77,6300.57,141274319.0,138972385280.0,1.26,6336.94,sh000905
2020-11-18 00:00:00,6333.45,6341.01,6382.5,6314.31,133982461.0,129795858432.0,1.08,6341.01,sh000905
2020-11-19 00:00:00,6328.08,6360.6,6370.18,6293.56,123804846.0,121059610624.0,1.21,6360.6,sh000905
2020-11-20 00:00:00,6354.79,6422.99,6429.87,6351.31,130667645.0,128065404928.0,1.24,6422.99,sh000905
2020-11-23 00:00:00,6435.92,6472.93,6516.24,6407.06,181925668.0,170218078208.0,1.7,6472.93,sh000905
2020-11-24 00:00:00,6472.75,6475.19,6495.14,6454.67,154062966.0,148759535616.0,0.63,6475.19,sh000905
2020-11-25 00:00:00,6489.26,6350.37,6489.72,6350.37,153813107.0,156624908288.0,2.15,6350.37,sh000905
2020-11-26 00:00:00,6349.86,6334.3,6358.17,6284.97,123236936.0,125528465408.0,1.15,6334.3,sh000905
2020-11-27 00:00:00,6337.38,6351.61,6351.81,6276.07,120885115.0,117407961088.0,1.2,6351.61,sh000905
2020-11-30 00:00:00,6360.46,6320.94,6397.72,6309.44,163157683.0,157517647872.0,1.39,6320.94,sh000905
2020-12-01 00:00:00,6307.85,6426.62,6437.94,6299.41,150957340.0,152562839552.0,2.19,6426.62,sh000905
2020-12-02 00:00:00,6437.96,6434.98,6446.81,6392.99,149705106.0,150490963968.0,0.84,6434.98,sh000905
2020-12-03 00:00:00,6437.38,6440.88,6461.09,6392.9,152214932.0,152891752448.0,1.06,6440.88,sh000905
2020-12-04 00:00:00,6426.03,6464.73,6471.86,6409.68,128855168.0,135320891392.0,0.97,6464.73,sh000905
2020-12-07 00:00:00,6465.99,6424.68,6472.85,6417.65,121078282.0,130847019008.0,0.85,6424.68,sh000905
2020-12-08 00:00:00,6424.16,6423.65,6448.39,6406.72,105494991.0,118324850688.0,0.65,6423.65,sh000905
2020-12-09 00:00:00,6430.48,6307.22,6437.43,6307.22,121516214.0,133439442944.0,2.03,6307.22,sh000905
2020-12-10 00:00:00,6295.35,6320.1,6350.92,6267.17,110577142.0,122398601216.0,1.33,6320.1,sh000905
2020-12-11 00:00:00,6328.83,6209.43,6340.39,6163.41,132641605.0,143457071104.0,2.8,6209.43,sh000905
2020-12-14 00:00:00,6207.83,6259.02,6260.61,6176.54,106877148.0,123900780544.0,1.35,6259.02,sh000905
2020-12-15 00:00:00,6250.1,6265.58,6276.58,6228.68,97980995.0,119718559744.0,0.77,6265.58,sh000905
2020-12-16 00:00:00,6268.21,6235.44,6271.03,6219.09,99283950.0,114108039168.0,0.83,6235.44,sh000905
2020-12-17 00:00:00,6225.08,6308.9,6312.01,6184.54,127702743.0,140083142656.0,2.04,6308.9,sh000905
2020-12-18 00:00:00,6310.16,6291.92,6332.53,6269.21,128622287.0,137531404288.0,1.0,6291.92,sh000905
2020-12-21 00:00:00,6302.26,6398.6,6401.55,6293.92,136347822.0,156761702400.0,1.71,6398.6,sh000905
2020-12-22 00:00:00,6372.88,6250.06,6378.5,6241.56,151310618.0,172456513536.0,2.14,6250.06,sh000905
2020-12-23 00:00:00,6255.35,6307.6,6330.6,6242.62,144044324.0,166258561024.0,1.41,6307.6,sh000905
2020-12-24 00:00:00,6308.48,6205.22,6308.48,6202.4,131221652.0,147688968192.0,1.68,6205.22,sh000905
2020-12-25 00:00:00,6190.99,6278.5,6284.59,6186.03,134478267.0,143831769088.0,1.59,6278.5,sh000905
2020-12-28 00:00:00,6283.78,6244.48,6288.24,6219.09,148960215.0,160495558656.0,1.1,6244.48,sh000905
2020-12-29 00:00:00,6240.74,6199.85,6280.04,6196.41,154476032.0,155674660864.0,1.34,6199.85,sh000905
2020-12-30 00:00:00,6196.45,6269.25,6289.27,6188.59,138041674.0,148227833856.0,1.62,6269.25,sh000905
2020-12-31 00:00:00,6282.96,6367.11,6370.57,6281.01,160194086.0,174289317888.0,1.43,6367.11,sh000905
2021-01-04 00:00:00,6395.61,6482.79,6501.59,6359.08,186621210.0,211126910976.0,2.24,6482.79,sh000905
2021-01-05 00:00:00,6470.25,6539.73,6539.73,6452.52,196726292.0,227033006080.0,1.35,6539.73,sh000905
2021-01-06 00:00:00,6549.73,6528.14,6569.2,6472.74,178521085.0,209333366784.0,1.47,6528.14,sh000905
2021-01-07 00:00:00,6523.68,6538.12,6567.27,6467.44,197135642.0,219238805504.0,1.53,6538.12,sh000905
2021-01-08 00:00:00,6541.56,6557.6,6598.38,6484.4,180837430.0,207113826304.0,1.74,6557.6,sh000905
2021-01-11 00:00:00,6557.45,6455.4,6572.85,6419.73,183257272.0,217940398080.0,2.34,6455.4,sh000905
2021-01-12 00:00:00,6425.81,6543.23,6543.23,6425.81,162311237.0,199048531968.0,1.82,6543.23,sh000905
2021-01-13 00:00:00,6550.03,6496.91,6553.65,6457.88,184913421.0,222962630656.0,1.46,6496.91,sh000905
2021-01-14 00:00:00,6471.79,6439.89,6516.27,6402.6,163023816.0,198732648448.0,1.75,6439.89,sh000905
2021-01-15 00:00:00,6427.13,6417.5,6447.88,6339.43,138243200.0,166962802688.0,1.68,6417.5,sh000905
2021-01-18 00:00:00,6414.83,6514.46,6529.41,6392.07,136832806.0,169891545088.0,2.14,6514.46,sh000905
2021-01-19 00:00:00,6510.48,6476.37,6532.65,6456.12,147616717.0,174545108992.0,1.17,6476.37,sh000905
2021-01-20 00:00:00,6477.67,6535.42,6535.48,6449.28,128525432.0,153378910208.0,1.33,6535.42,sh000905
2021-01-21 00:00:00,6552.03,6622.5,6649.86,6550.88,156809587.0,189208743936.0,1.51,6622.5,sh000905
2021-01-22 00:00:00,6619.86,6637.81,6643.67,6573.82,158062310.0,202861674496.0,1.05,6637.81,sh000905
2021-01-25 00:00:00,6636.22,6645.31,6711.57,6599.97,165623104.0,223556747264.0,1.68,6645.31,sh000905
2021-01-26 00:00:00,6621.15,6532.96,6624.45,6515.26,143371310.0,191892389888.0,1.64,6532.96,sh000905
2021-01-27 00:00:00,6527.68,6557.16,6564.29,6481.16,139760049.0,174776066048.0,1.27,6557.16,sh000905
2021-01-28 00:00:00,6475.86,6414.38,6529.84,6405.81,144825405.0,174817693696.0,1.89,6414.38,sh000905
2021-01-29 00:00:00,6448.67,6346.14,6462.37,6255.7,146041582.0,172077244416.0,3.22,6346.14,sh000905
2021-02-01 00:00:00,6338.64,6393.28,6397.01,6328.34,137325184.0,157579284480.0,1.08,6393.28,sh000905
2021-02-02 00:00:00,6404.85,6454.79,6459.48,6361.09,132394314.0,161720463360.0,1.54,6454.79,sh000905
2021-02-03 00:00:00,6459.66,6399.33,6484.49,6399.33,145457155.0,175699415040.0,1.32,6399.33,sh000905
2021-02-04 00:00:00,6375.67,6328.79,6414.3,6249.53,148861330.0,173708935168.0,2.57,6328.79,sh000905
2021-02-05 00:00:00,6343.83,6239.87,6382.96,6236.27,135132879.0,162500628480.0,2.32,6239.87,sh000905
2021-02-08 00:00:00,6247.92,6323.16,6354.02,6215.73,116134003.0,141592203264.0,2.22,6323.16,sh000905
2021-02-09 00:00:00,6334.42,6457.88,6468.43,6330.79,119319109.0,146850922496.0,2.18,6457.88,sh000905
2021-02-10 00:00:00,6474.75,6525.17,6542.75,6424.72,119042660.0,150035763200.0,1.83,6525.17,sh000905
2021-02-18 00:00:00,6657.31,6614.54,6678.61,6564.31,166892393.0,194996420608.0,1.75,6614.54,sh000905
2021-02-19 00:00:00,6600.25,6703.48,6706.39,6542.78,178767818.0,201468755968.0,2.47,6703.48,sh000905
2021-02-22 00:00:00,6731.51,6657.06,6810.92,6657.06,237065585.0,259948294144.0,2.3,6657.06,sh000905
2021-02-23 00:00:00,6613.6,6631.23,6701.43,6609.08,192656865.0,206144663552.0,1.39,6631.23,sh000905
2021-02-24 00:00:00,6633.28,6536.19,6661.43,6477.75,173718833.0,196797837312.0,2.77,6536.19,sh000905
2021-02-25 00:00:00,6600.21,6499.15,6609.56,6484.55,162068183.0,171451162624.0,1.91,6499.15,sh000905
2021-02-26 00:00:00,6365.74,6364.35,6446.95,6346.13,150760207.0,163655503872.0,1.55,6364.35,sh000905
2021-03-01 00:00:00,6407.16,6488.44,6491.94,6404.89,158608438.0,165792206848.0,1.37,6488.44,sh000905
2021-03-02 00:00:00,6514.02,6433.33,6514.02,6386.49,165877069.0,174025453568.0,1.97,6433.33,sh000905
2021-03-03 00:00:00,6426.04,6524.75,6528.22,6420.21,171017523.0,169667465216.0,1.68,6524.75,sh000905
2021-03-04 00:00:00,6482.79,6401.99,6485.16,6371.73,194334615.0,192657768448.0,1.74,6401.99,sh000905
2021-03-05 00:00:00,6325.75,6403.5,6442.02,6319.53,166504886.0,163666501632.0,1.91,6403.5,sh000905
2021-03-08 00:00:00,6453.78,6256.41,6488.82,6253.7,168546340.0,177120047104.0,3.67,6256.41,sh000905
2021-03-09 00:00:00,6235.31,6108.0,6250.94,6033.41,196432686.0,181888458752.0,3.48,6108.0,sh000905
2021-03-10 00:00:00,6164.77,6062.26,6179.85,6053.02,142554278.0,135611236352.0,2.08,6062.26,sh000905
2021-03-11 00:00:00,6074.33,6213.83,6213.93,6045.55,160814643.0,149412659200.0,2.78,6213.83,sh000905
2021-03-12 00:00:00,6231.48,6222.38,6232.5,6137.99,175746179.0,160346947584.0,1.52,6222.38,sh000905
2021-03-15 00:00:00,6192.3,6173.87,6229.57,6111.36,170799690.0,150564929536.0,1.9,6173.87,sh000905
2021-03-16 00:00:00,6176.07,6195.24,6222.18,6124.78,152845993.0,138852790272.0,1.58,6195.24,sh000905
2021-03-17 00:00:00,6180.89,6225.36,6230.56,6124.05,134840397.0,125106921472.0,1.72,6225.36,sh000905
2021-03-18 00:00:00,6231.19,6273.86,6300.94,6227.19,140725665.0,137984966656.0,1.18,6273.86,sh000905
2021-03-19 00:00:00,6195.25,6206.6,6258.13,6167.51,143238275.0,143898488832.0,1.44,6206.6,sh000905
2021-03-22 00:00:00,6208.93,6305.69,6307.55,6206.08,143041444.0,138484391936.0,1.63,6305.69,sh000905
2021-03-23 00:00:00,6307.98,6219.17,6307.98,6181.13,150964052.0,144085643264.0,2.01,6219.17,sh000905
2021-03-24 00:00:00,6180.31,6142.54,6232.13,6131.82,147673111.0,137684570112.0,1.61,6142.54,sh000905
2021-03-25 00:00:00,6118.87,6157.41,6190.94,6108.26,129307092.0,122101587968.0,1.35,6157.41,sh000905
2021-03-26 00:00:00,6164.82,6251.79,6264.56,6164.82,128887611.0,130405072896.0,1.62,6251.79,sh000905
2021-03-29 00:00:00,6270.0,6254.94,6277.76,6215.8,139633894.0,137607135232.0,0.99,6254.94,sh000905
2021-03-30 00:00:00,6239.47,6280.36,6287.87,6217.33,134409585.0,138902650880.0,1.13,6280.36,sh000905
2021-03-31 00:00:00,6277.7,6254.07,6277.7,6205.94,125128492.0,124539600896.0,1.14,6254.07,sh000905
2021-04-01 00:00:00,6259.41,6311.66,6321.58,6238.31,130374817.0,124971610112.0,1.33,6311.66,sh000905
2021-04-02 00:00:00,6316.56,6326.61,6341.65,6291.71,123938872.0,125309448192.0,0.79,6326.61,sh000905
2021-04-06 00:00:00,6345.89,6343.1,6367.78,6323.24,111489157.0,115979706368.0,0.7,6343.1,sh000905
2021-04-07 00:00:00,6350.38,6348.08,6350.38,6289.07,150016776.0,139659141120.0,0.97,6348.08,sh000905
2021-04-08 00:00:00,6332.93,6356.75,6385.2,6309.12,173741279.0,147432804352.0,1.2,6356.75,sh000905
2021-04-09 00:00:00,6345.29,6335.24,6360.45,6307.66,141306900.0,127539220480.0,0.83,6335.24,sh000905
2021-04-12 00:00:00,6325.26,6226.42,6344.16,6203.57,155441439.0,142018338816.0,2.22,6226.42,sh000905
2021-04-13 00:00:00,6210.22,6209.78,6254.9,6193.81,130387709.0,116032380928.0,0.98,6209.78,sh000905
2021-04-14 00:00:00,6206.64,6277.21,6287.84,6206.64,117438218.0,107282817024.0,1.31,6277.21,sh000905
2021-04-15 00:00:00,6263.63,6276.46,6281.43,6211.66,119776177.0,111582126080.0,1.11,6276.46,sh000905
2021-04-16 00:00:00,6283.86,6339.59,6344.95,6276.43,126764654.0,119984627712.0,1.09,6339.59,sh000905
2021-04-19 00:00:00,6331.71,6425.26,6431.78,6315.08,142200929.0,144720531456.0,1.84,6425.26,sh000905
2021-04-20 00:00:00,6419.73,6428.54,6467.38,6410.28,134674524.0,143364747264.0,0.89,6428.54,sh000905
2021-04-21 00:00:00,6396.27,6420.26,6434.63,6369.77,121051732.0,128354893824.0,1.01,6420.26,sh000905
2021-04-22 00:00:00,6444.28,6445.47,6472.8,6424.75,124923876.0,131906162688.0,0.75,6445.47,sh000905
2021-04-23 00:00:00,6445.52,6462.76,6463.97,6412.99,126117307.0,135170990080.0,0.79,6462.76,sh000905
2021-04-26 00:00:00,6480.3,6442.65,6546.64,6437.19,144964140.0,166586765312.0,1.69,6442.65,sh000905
2021-04-27 00:00:00,6434.61,6446.28,6466.25,6399.44,125894712.0,138320089088.0,1.04,6446.28,sh000905
2021-04-28 00:00:00,6433.1,6489.74,6489.74,6410.32,117234944.0,136377847808.0,1.23,6489.74,sh000905
