date,open,close,high,low,volume,money,change,adjclose,symbol,factor
2020-11-09,0.9874552079255622,1.0,1.003302317644815,0.9874552079255622,981983403517.05,74663150.34438455,,4981.35,sh000300,0.0002007487929978821
2020-11-10,1.0028225280295502,0.9944854306563481,1.0028225280295502,0.989476748271051,878048691440.2501,67104591.99373663,-0.005514569343651909,4953.88,sh000300,0.0002007487929978821
2020-11-11,0.9912493601132223,0.9846527547753118,0.9952282011904403,0.9840123661256486,819285199895.25,60999238.545374244,-0.009887199528450519,4904.9,sh000300,0.0002007487929978821
2020-11-12,0.9870356429481968,0.9853674204783843,0.9889568088971865,0.9819647284370703,588370257355.65,45699641.049916185,0.0007258048074374468,4908.46,sh000300,0.0002007487929978821
2020-11-13,0.9810553364047897,0.9750067752717637,0.9810553364047897,0.9687654952974595,665972019076.65,51261828.726750776,-0.010514499456041104,4856.85,sh000300,0.0002007487929978821
2020-11-16,0.9798468286709425,0.9845062081564234,0.9845062081564234,0.973354612705391,741080321223.0,53540713.09343852,0.00974294038317014,4904.17,sh000300,0.0002007487929978821
2020-11-17,0.9842954219237756,0.9826231844781033,0.9855340419765726,0.9767211699639656,754612083777.75,57998616.67058127,-0.0019126580032911011,4894.79,sh000300,0.0002007487929978821
2020-11-18,0.9815953506579541,0.9819968482439498,0.9858953898039687,0.9777911610306442,818020445092.9501,58363139.168297745,-0.0006374124324025621,4891.67,sh000300,0.0002007487929978821
2020-11-19,0.9798387987192226,0.9892880444056329,0.9916568801630079,0.9776867716582853,665913727318.9501,49730923.69899726,0.007424867172151739,4927.99,sh000300,0.0002007487929978821
2020-11-20,0.9893342166280225,0.9923595009385006,0.9931906009415118,0.9882040009234444,644588383659.0,45982249.30350206,0.0031047140923581296,4943.29,sh000300,0.0002007487929978821
2020-11-23,0.9946299697873067,1.0047537314181898,1.0096961667017976,0.9917893743663865,1025735616762.4501,66976588.03657643,0.012489657697606127,5005.03,sh000300,0.0002007487929978821
2020-11-24,1.0031517560500667,0.9985827135214349,1.0039567587099882,0.995910747086633,780268257959.8501,53159172.13446154,-0.006141821327744212,4974.29,sh000300,0.0002007487929978821
2020-11-25,1.0022885362401759,0.9858170977746995,1.0047015367320105,0.9858170977746995,848525779190.1001,55621597.19754685,-0.012783733960022414,4910.7,sh000300,0.0002007487929978821
2020-11-26,0.9853393156473645,0.9876017545444508,0.9887460226645387,0.9772089895309504,683452861414.9501,48129150.76274504,0.0018103325391491953,4919.59,sh000300,0.0002007487929978821
2020-11-27,0.9898099912674274,0.9998835657000612,0.9998835657000612,0.9871520772481356,811725538004.7001,50825372.66243086,0.012435995682567036,4980.77,sh000300,0.0002007487929978821
2020-11-30,1.0025615545986528,0.9957642004677446,1.0148232908749635,0.9957642004677446,1308296533582.5,79596060.33223924,-0.004119844923576199,4960.25,sh000300,0.0002007487929978821
2020-12-01,0.9963423569915786,1.0172142089995684,1.0183082899214069,0.9963423569915786,1016522365851.3,65936144.75112168,0.02154125296104037,5067.1,sh000300,0.0002007487929978821
2020-12-02,1.0183946119023959,1.0172222389512884,1.0219338131229485,1.0124383952141487,973532508372.6001,62354527.88661708,7.89406169210416e-06,5067.14,sh000300,0.0002007487929978821
2020-12-03,1.0168829734911218,1.0151986911178696,1.0182581027231574,1.0105272667048089,886011543799.8,55273210.868539646,-0.0019892878428462435,5057.06,sh000300,0.0002007487929978821
2020-12-04,1.0136850452186656,1.0169773254238308,1.018276170114527,1.0073273309444226,719043760335.4501,51752801.91915846,0.001752006106314763,5065.92,sh000300,0.0002007487929978821
2020-12-07,1.0169391831531611,1.0082086181456833,1.0173687855701767,1.0066769048551094,696872025534.3,53129728.39571602,-0.00862232328974799,5022.24,sh000300,0.0002007487929978821
2020-12-08,1.0095877623535787,1.0057273630642296,1.0123882080158992,1.0035271562929726,613069833009.15,47152006.41753741,-0.0024610532352097314,5009.88,sh000300,0.0002007487929978821
2020-12-09,1.008236722976703,0.9922410591506318,1.0104971543858592,0.9922049243678922,691994018621.4,52349819.60472562,-0.013409502822422925,4942.7,sh000300,0.0002007487929978821
2020-12-10,0.989950515422526,0.9918034267818965,0.9962640649623093,0.9876378893271904,627223053845.8501,46102217.24472281,-0.00044105448439102357,4940.52,sh000300,0.0002007487929978821
